,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,Vaini,100,IN,1564161101,94,15.34,74.49,74.56,1.28
1,Kieta,93,PG,1564161102,84,-6.22,155.63,77.62,6.08
2,Rikitea,2,PF,1564161103,82,-23.12,-134.97,73.3,8.97
3,Seydi,20,NE,1564161105,50,13.34,7.75,95.0,6.93
4,Tupancireta,100,BR,1564160892,84,-29.08,-53.84,49.36,13.42
5,Tuatapere,100,NZ,1564161108,83,-46.13,167.69,46.99,4.0
6,Avera,1,US,1564161109,48,33.19,-82.53,89.01,9.17
7,Busselton,99,AU,1564161111,57,-33.64,115.35,53.01,18.21
8,Avarua,96,CK,1564161112,88,-21.21,-159.78,68.0,5.82
9,Columbus,1,US,1564161053,40,32.46,-84.99,89.01,8.28
10,Rio Grande,90,BR,1564161115,77,-32.03,-52.1,60.01,11.41
11,Cherskiy,100,RU,1564161116,90,68.75,161.3,45.22,1.48
12,Cape Town,0,ZA,1564160968,76,-33.93,18.42,59.0,4.7
13,Mount Gambier,90,AU,1564160836,93,-37.83,140.78,41.0,3.36
14,Kaitangata,100,NZ,1564161069,88,-46.28,169.85,39.0,1.99
15,Ipixuna,40,BR,1564161121,58,-1.76,-48.8,87.8,12.75
16,Chokurdakh,86,RU,1564161123,78,70.62,147.9,33.7,11.54
17,Nurota,0,UZ,1564161124,17,40.56,65.69,89.6,13.87
18,Kalevala,61,FI,1564161126,62,64.12,29.58,72.04,4.72
19,Sarkand,34,KZ,1564161128,47,45.41,79.91,63.76,4.43
20,Ilulissat,40,GL,1564161130,76,69.22,-51.1,48.2,6.93
21,Boyolangu,38,ID,1564161131,95,-8.09,111.9,66.1,2.93
22,Hobart,20,AU,1564161132,69,-42.88,147.33,39.99,10.29
23,Sitka,81,US,1564161134,25,37.17,-99.65,91.3,14.12
24,Jamestown,71,AU,1564161135,93,-33.21,138.6,44.86,2.8
25,Ushuaia,0,AR,1564161136,56,-54.81,-68.31,41.0,16.11
26,Cidreira,73,BR,1564161138,93,-30.17,-50.22,62.32,7.07
27,Esna,75,RO,1564161139,58,45.2,27.57,82.4,4.7
28,Jishou,0,CN,1564161141,92,28.26,109.7,75.1,2.84
29,Mauguio,0,FR,1564161142,65,43.62,4.01,84.2,14.99
30,Mataura,99,NZ,1564161143,83,-46.19,168.86,46.99,4.0
31,Zabol,0,IR,1564161146,13,31.03,61.49,98.6,28.86
32,Isangel,21,VU,1564161147,73,-19.55,169.27,72.58,16.02
33,Harlingen,3,NL,1564161121,33,53.18,5.41,91.99,12.75
34,Sola,0,TZ,1564161150,22,-3.17,33.8,71.14,3.49
35,Butaritari,78,KI,1564161151,73,3.07,172.79,83.38,5.26
36,Esperance,75,AU,1564161153,76,-33.86,121.89,48.2,5.82
37,Cabo San Lucas,5,MX,1564160915,62,22.89,-109.91,91.99,2.24
38,Oyem,67,GA,1564161155,95,1.6,11.57,69.7,4.14
39,Alofi,98,NU,1564161157,80,-19.06,-169.92,75.64,19.77
40,Kruisfontein,0,ZA,1564161158,89,-34.0,24.73,53.32,7.96
41,Albany,20,US,1564161046,42,42.65,-73.75,86.0,3.36
42,Coihaique,20,CL,1564161161,52,-45.58,-72.07,50.0,6.93
43,Sao Filipe,91,CV,1564161162,84,14.9,-24.5,74.2,13.09
44,Nagua,40,DO,1564161163,74,19.37,-69.85,86.0,6.93
45,Adrar,0,DZ,1564161165,8,27.87,-0.29,113.0,12.75
46,Talnakh,0,RU,1564161166,71,69.49,88.39,50.0,15.66
47,Bud,0,NO,1564161169,57,62.91,6.91,81.0,9.17
48,Yellowknife,90,CA,1564161170,93,62.45,-114.38,59.0,10.29
49,Punta Arenas,20,CL,1564161171,60,-53.16,-70.91,42.01,19.46
50,Hermanus,0,ZA,1564161172,88,-34.42,19.24,59.0,9.4
51,Breves,76,BR,1564161174,42,-1.68,-50.48,91.66,5.68
52,Necochea,35,AR,1564161176,90,-38.55,-58.74,52.0,5.99
53,New Norfolk,20,AU,1564161177,69,-42.78,147.06,39.99,10.29
54,Tasiilaq,75,GL,1564161178,65,65.61,-37.64,46.4,16.11
55,Kodiak,1,US,1564161179,54,39.95,-94.76,84.0,16.11
56,Atuona,13,PF,1564161181,76,-9.8,-139.03,79.78,12.95
57,Nikolskoye,0,RU,1564161182,51,59.7,30.79,82.4,8.95
58,Luderitz,0,NA,1564161184,77,-26.65,15.16,60.8,9.17
59,San Roque,0,ES,1564161186,32,36.21,-5.38,86.0,17.22
60,Garachine,100,PA,1564161187,77,8.06,-78.36,81.22,8.43
61,Berlevag,75,NO,1564161091,87,70.86,29.09,55.4,14.99
62,Yazd,0,IR,1564161190,15,31.89,54.36,96.8,11.41
